hood.name,tract.fips,pct.of.tract
Winnetka,06037134904,0.9966419173499979
Woodland Hills,06037134904,0.002868396390952355
Canoga Park,06037134905,8.274959975125886e-4
Winnetka,06037134905,5.978953093001137e-4
Woodland Hills,06037134905,0.998574608693199
Canoga Park,06037135102,2.4520599204097467e-7
West Hills,06037135102,0.6413863980189686
Woodland Hills,06037135102,0.3586133567750669
Canoga Park,06037135111,0.9999372746809654
West Hills,06037135111,2.6540435878599788e-5
Woodland Hills,06037135111,3.618488312322075e-5
Canoga Park,06037135113,2.4566693177946278e-5
Woodland Hills,06037135113,0.9999754333068333
Canoga Park,06037135114,0.7962822757479537
Woodland Hills,06037135114,0.2037177242520328
West Hills,06037135201,0.6021366464473407
Woodland Hills,06037135201,0.39786335355268565
West Hills,06037135202,0.5591798639312728
Woodland Hills,06037135202,0.4408201360687292
West Hills,06037135203,0.776912995780437
Westhills,06037135203,0.12765965745884547
Woodland Hills,06037135203,0.0950874362238182
Calabasas,06037137000,1.3298314063585133e-7
Hidden Hills,06037137000,1.3646076018229056e-5
Santa Monica Mountains,06037137000,1.4565144937710135e-6
Woodland Hills,06037137000,0.999984764426371
Woodland Hills,06037137103,1
Woodland Hills,06037137104,1
Woodland Hills,06037137201,1
Woodland Hills,06037137301,1
Hidden Hills,06037137302,4.06861852522915e-5
