"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"193","Los Angeles - Temple-Beaudry",722,1829,1746,17,43,48,39482
"194","Los Angeles - Thai Town",81,826,767,0,0,0,9809
"195","Los Angeles - Toluca Lake",51,586,691,0,0,0,8704
"196","Los Angeles - Toluca Terrace",13,995,1063,1,77,72,1306
"197","Los Angeles - Toluca Woods",9,484,458,0,0,0,1858
"198","Los Angeles - Tujunga",217,780,744,11,40,33,27810
"199","Los Angeles - University Hills",33,962,978,1,29,19,3429
"200","Los Angeles - University Park",457,1664,2432,14,51,89,27456
"201","Los Angeles - Valley Glen",294,979,935,11,37,37,30016
"202","Los Angeles - Valley Village",339,1371,1282,22,89,73,24720
"203","Los Angeles - Van Nuys",1510,1620,1622,50,54,68,93194
"204","Los Angeles - Venice",139,410,490,2,6,6,33885
"205","Los Angeles - Vermont Knolls",440,2558,2539,8,47,59,17200
"206","Los Angeles - Vermont Square",197,2573,2546,2,26,24,7657
"207","Los Angeles - Vermont Vista",1043,2532,2614,16,39,60,41186
"208","Los Angeles - Vernon Central",1725,3317,3407,25,48,68,51998
"209","Los Angeles - Victoria Park",109,1298,1256,2,24,20,8399
"210","Los Angeles - View Heights",21,568,596,2,54,42,3694
"211","Los Angeles - Watts",980,2296,2430,14,33,57,42674
"212","Los Angeles - Wellington Square",65,1322,1306,0,0,0,4915
"213","Los Angeles - West Adams",529,1915,1875,28,101,108,27630
"214","Los Angeles - West Hills",279,688,653,26,64,39,40545
"215","Los Angeles - West Los Angeles",296,786,782,10,27,31,37636
"216","Los Angeles - West Vernon",1253,2336,2323,30,56,71,53644
"217","Los Angeles - Westchester",239,463,447,11,21,18,51603
"218","Los Angeles - Westlake",1583,2667,2728,112,189,220,59355
"219","Los Angeles - Westwood",182,336,314,5,9,9,54109
"220","Los Angeles - Wholesale District",1670,4622,3932,17,47,54,36129
"221","Los Angeles - Wilmington",868,1537,1545,8,14,17,56487
"222","Los Angeles - Wilshire Center",613,1222,1173,26,52,50,50170
"223","Los Angeles - Winnetka",640,1236,1173,9,17,17,51786
"224","Los Angeles - Woodland Hills",437,642,624,20,29,19,68055
"225","Unincorporated - Acton",37,464,510,2,25,18,7971
